"body.1","body.2","bodies.sorted","order.body.string","sentiment","mean.single.sentiment","Saturn","Jupiter","Mars","Sun","Venus","Mercury","Moon","length"
"Saturn","Jupiter","Saturn Jupiter","12",1,-0.00666666666666665,1,1,0,0,0,0,0,24
"Saturn","Mars","Saturn Mars","13",-0.714285714285714,-0.521944444444444,1,0,1,0,0,0,0,53
"Saturn","Sun","Saturn Sun","14",-0.333333333333333,-0.00666666666666665,1,0,0,1,0,0,0,62
"Saturn","Venus","Saturn Venus","15",-0.384615384615385,-0.0698245614035088,1,0,0,0,1,0,0,50
"Saturn","Mercury","Saturn Mercury","16",0.375,-0.212222222222222,1,0,0,0,0,1,0,41
"Saturn","Moon","Saturn Moon","17",-0.157894736842105,-0.181666666666667,1,0,0,0,0,0,1,75
"Jupiter","Mars","Jupiter Mars","23",0.571428571428571,0.0847222222222222,0,1,1,0,0,0,0,38
"Jupiter","Sun","Jupiter Sun","24",0.466666666666667,0.6,0,1,0,1,0,0,0,49
"Jupiter","Venus","Jupiter Venus","25",0.875,0.536842105263158,0,1,0,0,1,0,0,33
"Jupiter","Mercury","Jupiter Mercury","26",1,0.394444444444444,0,1,0,0,0,1,0,50
"Jupiter","Moon","Jupiter Moon","27",1,0.425,0,1,0,0,0,0,1,41
"Mars","Venus","Mars Venus","35",-0.909090909090909,0.0215643274853801,0,0,1,0,1,0,0,69
"Mars","Mercury","Mars Mercury","36",-0.583333333333333,-0.120833333333333,0,0,1,0,0,1,0,63
"Sun","Venus","Sun Venus","45",0.833333333333333,0.536842105263158,0,0,0,1,1,0,0,58
"Sun","Mercury","Sun Mercury","46",0.7,0.394444444444444,0,0,0,1,0,1,0,56
"Sun","Moon","Sun Moon","47",0.909090909090909,0.425,0,0,0,1,0,0,1,73
"Venus","Mercury","Venus Mercury","56",0.5,0.331286549707602,0,0,0,0,1,1,0,56
"Venus","Moon","Venus Moon","57",-0.538461538461539,0.361842105263158,0,0,0,0,1,0,1,58
"Mercury","Moon","Mercury Moon","67",0.625,0.219444444444444,0,0,0,0,0,1,1,61
