TRANSLATION,PLANET,SENTIMENT
kingship,Sun,good
rule,Sun,good
intellect,Sun,good
intelligence,Sun,good
beauty,Sun,good
motion,Sun,neutral
loftiness of fortune,Sun,good
ordinance of gods,Sun,good
judgement,Sun,good
public reputation,Sun,good
action,Sun,good
authority over masses,Sun,good
father,Sun,neutral
master,Sun,neutral
friendship,Sun,good
noble people,Sun,good
honours of pictures,Sun,good
honours of statues,Sun,good
honours of garlands,Sun,good
high priesthoods,Sun,good
[rule over] homeland,Sun,good
head,Sun,neutral
right eye,Sun,neutral
heart,Sun,neutral
nerves,Sun,neutral
gold,Sun,neutral
wheat and barley,Sun,neutral
diurnal,Sun,neutral
yellow,Sun,neutral
bitter,Sun,neutral
life,Moon,neutral
body,Moon,neutral
mother,Moon,good
conception,Moon,neutral
beauty,Moon,good
appearance,Moon,neutral
sight,Moon,neutral
living together and legal marriage,Moon,good
nurture,Moon,good
older brother,Moon,neutral
housekeeping,Moon,good
queen,Moon,good
mistress,Moon,neutral
possessions,Moon,good
fortune,Moon,good
city,Moon,good
assembly of people,Moon,neutral
gains,Moon,good
expenses,Moon,bad
household,Moon,good
voyages,Moon,neutral
travel ,Moon,neutral
wanderings,Moon,neutral
left eye,Moon,neutral
stomach,Moon,neutral
breasts,Moon,neutral
breath,Moon,neutral
spleen,Moon,neutral
membrane around brain / spinal cord,Moon,neutral
marrow,Moon,neutral
dropsy,Moon,bad
silver,Moon,neutral
glass,Moon,neutral
nocturnal,Moon,neutral
green,Moon,neutral
salty,Moon,neutral
petty,Saturn,bad
malignant,Saturn,bad
care-worn,Saturn,bad
self-depreciating,Saturn,bad
solitary,Saturn,bad
deceitful,Saturn,bad
secretive in trickery,Saturn,bad
strict,Saturn,neutral
downcast,Saturn,bad
hypocritical air,Saturn,bad
squalid,Saturn,bad
Black-clad,Saturn,bad
dogged,Saturn,bad
Sad-looking,Saturn,bad
miserable,Saturn,bad
nautical,Saturn,neutral
waterside trades,Saturn,neutral
humblings,Saturn,bad
sluggishness,Saturn,bad
unemployment,Saturn,bad
obstacles in business,Saturn,bad
interminable lawsuits,Saturn,bad
subversion of business,Saturn,bad
secrets,Saturn,bad
imprisonment,Saturn,bad
chains,Saturn,bad
grief,Saturn,bad
accusations,Saturn,bad
tears,Saturn,bad
bereavement,Saturn,bad
capture,Saturn,bad
exposures of children,Saturn,bad
serfs,Saturn,neutral
farmers,Saturn,neutral
renters of property,Saturn,neutral
tax farmers,Saturn,neutral
violent in action,Saturn,bad
great ranks,Saturn,good
distinguished positions,Saturn,good
supervisions,Saturn,good
management of others' property,Saturn,good
fathership of others' children,Saturn,neutral
lead,Saturn,neutral
wood,Saturn,neutral
stone,Saturn,neutral
legs,Saturn,neutral
knees,Saturn,neutral
tendons,Saturn,neutral
lymph,Saturn,neutral
phlegm,Saturn,neutral
bladder,Saturn,neutral
kidneys and other internal organs,Saturn,neutral
injuries from cold and moisture,Saturn,bad
dropsy,Saturn,bad
neuralgia,Saturn,bad
gout,Saturn,bad
cough,Saturn,bad
dysentry,Saturn,bad
hernia,Saturn,bad
spasms,Saturn,bad
possession ,Saturn,bad
homosexuality,Saturn,bad
depravity,Saturn,bad
bachelors,Saturn,bad
widows,Saturn,bad
bereavements,Saturn,bad
childlessness,Saturn,bad
violent deaths by water,Saturn,bad
violent deaths by strangulation,Saturn,bad
violent deaths by imprisonment,Saturn,bad
violent deaths by dysentry,Saturn,bad
falling on the face,Saturn,bad
diurnal,Saturn,neutral
Castor-coloured (dark red?),Saturn,neutral
astringent,Saturn,neutral
childbearing,Jupiter,neutral
engendering,Jupiter,neutral
desire,Jupiter,neutral
loves,Jupiter,neutral
political ties,Jupiter,good
acquaintance,Jupiter,good
friendships with great men,Jupiter,good
prosperity,Jupiter,good
salaries,Jupiter,good
great gifts,Jupiter,good
abundance of crops,Jupiter,good
justice,Jupiter,good
offices,Jupiter,good
officeholding,Jupiter,good
ranks,Jupiter,good
authority over temples,Jupiter,good
arbitrations,Jupiter,neutral
trusts,Jupiter,good
inheritance,Jupiter,good
brotherhood,Jupiter,good
fellowship,Jupiter,good
beneficence,Jupiter,good
secure possession of goods,Jupiter,good
relief from troubles,Jupiter,good
release from bonds,Jupiter,good
freedom,Jupiter,good
deposits in trust,Jupiter,good
money,Jupiter,good
stewardships,Jupiter,good
thighs,Jupiter,neutral
feet,Jupiter,neutral
sperm,Jupiter,neutral
uterus,Jupiter,neutral
liver,Jupiter,neutral
right side,Jupiter,neutral
teeth,Jupiter,neutral
tin,Jupiter,neutral
diurnal,Jupiter,neutral
greyish white,Jupiter,neutral
sweet,Jupiter,neutral
force,Mars,neutral
wars,Mars,neutral
plunderings,Mars,bad
screams,Mars,bad
violence,Mars,bad
adultery,Mars,bad
loss of property,Mars,bad
banishment,Mars,bad
exile,Mars,bad
alienation from parents,Mars,bad
capture,Mars,bad
deaths of women,Mars,bad
abortions,Mars,bad
love affairs,Mars,bad
marriages,Mars,good
loss of goods,Mars,bad
lies,Mars,bad
vain hopes,Mars,bad
violent robbery,Mars,bad
banditry,Mars,bad
looting,Mars,bad
quarrels among friends,Mars,bad
anger,Mars,bad
fighting,Mars,bad
verbal abuse,Mars,bad
hatreds,Mars,bad
lawsuits,Mars,bad
violent murders,Mars,bad
slashings,Mars,bad
bloodshed,Mars,bad
attacks of fever,Mars,bad
ulcers,Mars,bad
boils,Mars,bad
burns,Mars,bad
chains,Mars,bad
torture,Mars,bad
masculinity,Mars,good
false oaths,Mars,bad
wanderings,Mars,neutral
embassies under difficult circumstances,Mars,bad
actions involving fire or iron,Mars,neutral
craftwork,Mars,good
masonry,Mars,good
commands,Mars,good
military leadership,Mars,good
military campaigns,Mars,good
infantrymen,Mars,neutral
governorships,Mars,good
hunting,Mars,neutral
wild animals,Mars,neutral
falls from heights or animals,Mars,bad
weak vision,Mars,bad
strokes,Mars,bad
head,Mars,neutral
bum,Mars,neutral
genitals,Mars,neutral
blood,Mars,neutral
sperm ducts,Mars,neutral
bile,Mars,neutral
elimination of excrement,Mars,neutral
back parts,Mars,neutral
back,Mars,neutral
underside,Mars,neutral
hard,Mars,neutral
abrupt,Mars,bad
iron,Mars,neutral
decoration of clothes,Mars,neutral
wine,Mars,neutral
beans,Mars,neutral
nocturnal,Mars,neutral
red,Mars,neutral
bitter,Mars,neutral
desire,Venus,neutral
love affairs,Venus,neutral
mother,Venus,neutral
nurture,Venus,good
priesthoods,Venus,good
school superintendences,Venus,good
high offices with right to wear gold ring,Venus,good
offices with right to crown,Venus,good
cheerfulness,Venus,good
friendship ,Venus,good
companionship,Venus,good
acquisition of property,Venus,good
purchase of ornaments,Venus,neutral
agreements on favourable terms,Venus,good
marriages,Venus,good
pure trades,Venus,good
fine voices,Venus,good
taste for music,Venus,neutral
sweet singing,Venus,good
beauty,Venus,good
painting,Venus,good
"mixing of colours in embroidery, dyeing and unguent making",Venus,neutral
"inventors of embroidery, dyeing, unguent making",Venus,good
"masters of embroidery, dyeing, unguent making",Venus,good
craftsmanship,Venus,good
trade,Venus,good
work in emeralds or precious stones,Venus,neutral
work in ivory,Venus,neutral
gold-spinners,Venus,neutral
gold workers,Venus,neutral
barbers,Venus,neutral
people fond of cleanliness,Venus,neutral
people fond of toys,Venus,neutral
supervisor of weights and measures,Venus,good
markets,Venus,neutral
factories,Venus,neutral
giving / receiving,Venus,neutral
laughter,Venus,good
good cheer,Venus,good
ornamentation,Venus,good
beasts of the sea,Venus,neutral
favour from royal women or one's female relatives,Venus,good
high rank,Venus,good
neck,Venus,neutral
face,Venus,neutral
lips,Venus,neutral
sense of smell,Venus,neutral
front parts from head to feet,Venus,neutral
parts of intercourse,Venus,neutral
lungs,Venus,neutral
recipient of support and pleasure from others,Venus,good
precious stones,Venus,neutral
fancy jewellery,Venus,neutral
olive,Venus,neutral
nocturnal,Venus,neutral
white,Venus,neutral
very greasy,Venus,neutral
education,Mercury,good
letters,Mercury,good
disputation,Mercury,neutral
reasoning,Mercury,good
brotherhood,Mercury,good
interpretation,Mercury,neutral
embassies,Mercury,good
number,Mercury,neutral
accounts,Mercury,neutral
geometry,Mercury,neutral
markets,Mercury,neutral
youth,Mercury,good
games,Mercury,neutral
theft,Mercury,bad
association,Mercury,good
communication,Mercury,good
service,Mercury,neutral
gain,Mercury,good
discoveries,Mercury,good
obedience,Mercury,neutral
sport,Mercury,neutral
wrestling,Mercury,neutral
declamation,Mercury,neutral
certification,Mercury,neutral
writing letters,Mercury,neutral
supervision,Mercury,good
weighing and measuring,Mercury,neutral
testing coins,Mercury,neutral
hearing,Mercury,neutral
versatility,Mercury,neutral
giver of forethought,Mercury,good
giver of intelligence,Mercury,good
brothers,Mercury,neutral
younger children,Mercury,neutral
all business and banking,Mercury,neutral
temple builders,Mercury,neutral
modellers,Mercury,neutral
sculptors,Mercury,neutral
doctors,Mercury,neutral
secretaries,Mercury,neutral
lawyers,Mercury,neutral
orators,Mercury,neutral
philosophers,Mercury,neutral
architects,Mercury,neutral
musicians,Mercury,neutral
prophets,Mercury,neutral
diviners,Mercury,neutral
augurs,Mercury,neutral
dream interpreters,Mercury,neutral
braiders,Mercury,neutral
weavers,Mercury,neutral
systematic physicians,Mercury,neutral
those in charge of war or strategy,Mercury,good
those undertaking unusual systematic work in accounting,Mercury,neutral
those undertaking unusual systematic work with reasoning,Mercury,neutral
weight lifters,Mercury,neutral
mimes,Mercury,neutral
those making livelihood with skill,Mercury,neutral
those making livelihood with deception,Mercury,bad
those making livelihood with gambling,Mercury,bad
those making livelihood with sleight of hand,Mercury,bad
skilled interpreters of the heavens,Mercury,good
knowledge,Mercury,good
selling,Mercury,neutral
service,Mercury,neutral
trade,Mercury,good
teaching,Mercury,good
farming,Mercury,neutral
temple service,Mercury,good
public employment,Mercury,good
authority,Mercury,good
rentals,Mercury,neutral
labour contracting,Mercury,neutral
rhythmical performance,Mercury,neutral
display of public service,Mercury,neutral
acquisition of attendants,Mercury,good
right of wearing temple linen,Mercury,good
capricious,Mercury,bad
disturbed,Mercury,bad
hands,Mercury,neutral
shoulders,Mercury,neutral
fingers,Mercury,neutral
joints,Mercury,neutral
belly,Mercury,neutral
hearing,Mercury,neutral
arteries,Mercury,neutral
intestines,Mercury,neutral
tongue,Mercury,neutral
copper,Mercury,neutral
all coins,Mercury,neutral
