combination,sentences,sentiment
Mars Venus Moon,3,-0.6666666666666666
Jupiter Moon,3,0.6666666666666666
Jupiter Mars Moon,5,0.0
Mars Venus Mercury,3,-0.3333333333333333
Sun Mercury Moon,4,0.5
Jupiter Sun Venus,6,0.16666666666666666
Saturn Venus Moon,4,-0.5
Sun Moon,6,0.5
Mars Mercury Moon,3,-0.3333333333333333
Saturn Venus Mercury,5,-0.2
Venus Mercury Moon,1,1.0
Venus Mercury,4,0.0
Sun Venus,4,0.25
Sun Venus Mercury,4,0.25
Saturn Moon,4,0.25
Jupiter Venus Moon,7,0.0
Saturn Jupiter,1,0.0
Saturn Sun Venus,3,-0.3333333333333333
Saturn Sun,5,-0.6
Venus,11,0.36363636363636365
Saturn Mars Venus,7,-0.5714285714285714
Saturn Mars Moon,4,-1.0
Jupiter Sun,4,0.25
Saturn Jupiter Mars,5,-0.2
Mercury Moon,4,0.75
Sun Venus Moon,3,0.0
Saturn Venus,2,0.0
Mars Sun Moon,3,-0.6666666666666666
Jupiter Mercury,5,0.4
Jupiter Mars Venus,4,0.5
Jupiter Sun Moon,3,-1.0
Jupiter,6,0.0
Mars Mercury,5,-0.6
Mars,7,-0.5714285714285714
Saturn Mars,3,-0.6666666666666666
Mars Sun Mercury,7,-0.2857142857142857
Jupiter Venus Mercury,6,0.3333333333333333
Saturn Jupiter Venus,5,0.0
Mercury,12,0.0
Mars Venus,3,-0.6666666666666666
Sun,4,0.0
Jupiter Venus,2,1.0
Saturn Mars Mercury,7,-0.2857142857142857
Jupiter Sun Mercury,5,0.2
Sun Mercury,4,0.0
Saturn,13,-0.3076923076923077
Jupiter Mars,1,1.0
Venus Moon,2,0.0
Moon,4,-0.5
Saturn Mercury,3,-0.3333333333333333
Jupiter Mercury Moon,4,1.0
Saturn Jupiter Moon,4,0.0
Saturn Jupiter Mercury,6,0.16666666666666666
Saturn Mars Sun,8,-0.375
Saturn Jupiter Sun,5,-0.8
Mars Sun Venus,5,0.0
Jupiter Mars Mercury,6,-0.3333333333333333
Jupiter Mars Sun,3,-0.3333333333333333
