"","body.1","body.2","body.3","bodies.sorted","order.body.string","sentiment","mean.double.sentiment"
"1","Saturn","Jupiter","Mars","Saturn Jupiter Mars","123",0.142857142857143,NA
"2","Saturn","Jupiter","Sun","Saturn Jupiter Sun","124",-0.176470588235294,NA
"3","Saturn","Jupiter","Venus","Saturn Jupiter Venus","125",0.111111111111111,NA
"4","Saturn","Jupiter","Mercury","Saturn Jupiter Mercury","126",0.222222222222222,NA
"5","Saturn","Jupiter","Moon","Saturn Jupiter Moon","127",0.909090909090909,NA
"6","Saturn","Mars","Sun","Saturn Mars Sun","134",-0.684210526315789,NA
"7","Saturn","Mars","Venus","Saturn Mars Venus","135",-0.315789473684211,NA
"8","Saturn","Mars","Mercury","Saturn Mars Mercury","136",-0.333333333333333,NA
"9","Saturn","Mars","Moon","Saturn Mars Moon","137",-0.733333333333333,NA
"10","Saturn","Sun","Venus","Saturn Sun Venus","145",-0.25,NA
"11","Saturn","Venus","Mercury","Saturn Venus Mercury","156",-0.19047619047619,NA
"12","Saturn","Venus","Moon","Saturn Venus Moon","157",-0.714285714285714,NA
"13","Jupiter","Mars","Sun","Jupiter Mars Sun","234",-0.0666666666666667,NA
"14","Jupiter","Mars","Venus","Jupiter Mars Venus","235",0.0909090909090909,NA
"15","Jupiter","Mars","Mercury","Jupiter Mars Mercury","236",0.695652173913043,NA
"16","Jupiter","Mars","Moon","Jupiter Mars Moon","237",0.523809523809524,NA
"17","Jupiter","Sun","Venus","Jupiter Sun Venus","245",0.521739130434783,NA
"18","Jupiter","Sun","Mercury","Jupiter Sun Mercury","246",0.5625,NA
"19","Jupiter","Sun","Moon","Jupiter Sun Moon","247",-0.166666666666667,NA
"20","Jupiter","Venus","Mercury","Jupiter Venus Mercury","256",0.857142857142857,NA
"21","Jupiter","Venus","Moon","Jupiter Venus Moon","257",0.0357142857142858,NA
"22","Jupiter","Mercury","Moon","Jupiter Mercury Moon","267",0.939393939393939,NA
"23","Mars","Sun","Venus","Mars Sun Venus","345",-0.25,NA
"24","Mars","Sun","Mercury","Mars Sun Mercury","346",-0.294117647058824,NA
"25","Mars","Sun","Moon","Mars Sun Moon","347",0,NA
"26","Mars","Venus","Mercury","Mars Venus Mercury","356",-0.0434782608695652,NA
"27","Mars","Venus","Moon","Mars Venus Moon","357",-0.526315789473684,NA
"28","Mars","Mercury","Moon","Mars Mercury Moon","367",-0.363636363636364,NA
"29","Sun","Venus","Mercury","Sun Venus Mercury","456",0.588235294117647,NA
"30","Sun","Venus","Moon","Sun Venus Moon","457",0.0666666666666667,NA
"31","Sun","Mercury","Moon","Sun Mercury Moon","467",0.823529411764706,NA
"32","Venus","Mercury","Moon","Venus Mercury Moon","567",0.571428571428571,NA
